customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4228-['V' 'H' 'Y' 'O' 'F'],Male,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),27.57,248.13,No
4229-['W' 'T' 'B' 'Y' 'Y'],Male,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),101.98,0.0,Yes
4230-['O' 'T' 'L' 'C' 'J'],Male,0,Yes,Yes,41,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,69.72,2858.52,No
4231-['N' 'V' 'N' 'C' 'A'],Male,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,104.33,417.32,No
4232-['T' 'A' 'B' 'S' 'X'],Female,0,No,Yes,5,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),58.37,291.85,No
4233-['J' 'D' 'D' 'M' 'Z'],Male,1,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),35.79,322.11,No
4234-['I' 'G' 'P' 'R' 'C'],Female,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,55.83,2065.71,No
4235-['T' 'T' 'J' 'X' 'Z'],Female,0,No,No,23,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),46.48,1069.04,No
4236-['Z' 'V' 'P' 'C' 'K'],Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,69.94,489.58,Yes
4237-['Y' 'J' 'P' 'H' 'I'],Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),108.86,435.44,No
4238-['O' 'U' 'C' 'D' 'M'],Male,0,Yes,No,2,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),54.47,108.94,No
4239-['L' 'U' 'I' 'Y' 'N'],Male,0,Yes,No,3,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,92.99,278.97,No
4240-['S' 'G' 'P' 'V' 'T'],Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),83.17,3992.16,No
4241-['E' 'J' 'R' 'K' 'G'],Male,0,Yes,No,61,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,40.72,2483.92,No
4242-['N' 'T' 'R' 'K' 'V'],Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.36,3625.92,No
4243-['L' 'R' 'Z' 'B' 'W'],Male,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),39.06,1679.58,No
4244-['A' 'W' 'J' 'U' 'A'],Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),95.34,4957.68,No
4245-['F' 'G' 'Q' 'I' 'G'],Female,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.08,1243.2,No
4246-['Q' 'C' 'P' 'E' 'T'],Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),77.01,5544.72,No
4247-['R' 'A' 'D' 'W' 'K'],Female,0,No,No,44,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,35.47,1560.68,No
4248-['T' 'I' 'H' 'H' 'E'],Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.14,533.96,No
4249-['L' 'A' 'O' 'Y' 'R'],Male,1,Yes,No,9,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),18.53,166.77,Yes
4250-['F' 'J' 'N' 'U' 'Z'],Female,0,Yes,No,21,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,62.96,1322.16,No
4251-['H' 'C' 'V' 'V' 'Z'],Male,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),100.55,2212.1,No
4252-['S' 'L' 'L' 'O' 'G'],Male,1,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.99,539.8,No
4253-['D' 'U' 'I' 'V' 'P'],Male,1,No,Yes,29,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,104.32,3025.28,No
4254-['Z' 'M' 'D' 'X' 'I'],Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,104.04,2913.12,No
4255-['Z' 'U' 'R' 'O' 'O'],Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,41.68,83.36,No
4256-['F' 'K' 'H' 'U' 'Q'],Male,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),107.07,856.56,Yes
4257-['X' 'Y' 'Q' 'X' 'Z'],Male,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,102.31,5320.12,No
4258-['R' 'D' 'O' 'B' 'B'],Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.75,1779.75,Yes
4259-['J' 'C' 'H' 'T' 'G'],Male,1,Yes,No,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,102.79,925.11,No
4260-['L' 'Z' 'S' 'Z' 'O'],Male,0,No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),25.51,1147.95,No
4261-['N' 'P' 'N' 'C' 'R'],Female,0,No,Yes,6,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),50.55,303.3,No
4262-['V' 'F' 'Q' 'W' 'N'],Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),47.44,569.28,No
4263-['N' 'T' 'M' 'C' 'M'],Male,0,No,Yes,7,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,97.73,684.11,No
4264-['X' 'B' 'I' 'M' 'H'],Female,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,94.68,4639.32,Yes
4265-['P' 'X' 'C' 'M' 'D'],Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,108.88,3375.28,No
4266-['R' 'B' 'T' 'V' 'U'],Male,0,Yes,No,14,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),47.43,664.02,No
4267-['O' 'Q' 'J' 'A' 'F'],Male,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,66.33,4245.12,No
4268-['C' 'S' 'G' 'M' 'M'],Male,0,Yes,No,62,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,19.91,1234.42,No
4269-['Q' 'A' 'N' 'Z' 'C'],Female,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,119.0,3451.0,Yes
4270-['N' 'X' 'A' 'P' 'J'],Female,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),59.93,3176.29,No
4271-['M' 'D' 'I' 'N' 'D'],Female,0,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.91,2247.3,No
4272-['J' 'H' 'W' 'C' 'W'],Male,1,No,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,72.31,1663.13,No
4273-['G' 'J' 'C' 'B' 'O'],Male,1,No,No,13,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),57.7,750.1,Yes
4274-['I' 'O' 'Q' 'G' 'T'],Female,0,No,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,41.76,292.32,Yes
4275-['R' 'O' 'R' 'X' 'W'],Female,0,Yes,Yes,1,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,94.11,94.11,Yes
4276-['L' 'W' 'U' 'Z' 'H'],Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),56.36,2141.68,No
4277-['B' 'B' 'E' 'A' 'V'],Female,1,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,86.6,259.8,No
4278-['D' 'F' 'W' 'M' 'S'],Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),92.5,1110.0,No
4279-['K' 'M' 'H' 'G' 'M'],Male,0,Yes,Yes,6,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),92.05,552.3,No
4280-['A' 'F' 'G' 'P' 'O'],Female,0,No,Yes,14,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),26.32,368.48,No
4281-['T' 'B' 'Z' 'Y' 'W'],Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),117.41,1056.69,Yes
4282-['P' 'Q' 'X' 'O' 'C'],Female,0,No,No,42,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),95.48,4010.16,No
4283-['D' 'L' 'E' 'Q' 'F'],Female,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),78.93,5682.96,No
4284-['J' 'V' 'R' 'J' 'F'],Male,0,No,No,68,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,47.42,3224.56,No
4285-['X' 'F' 'T' 'O' 'D'],Male,0,No,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,33.45,769.35,No
4286-['Y' 'P' 'V' 'X' 'H'],Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,99.02,7129.44,No
4287-['G' 'S' 'Z' 'Q' 'U'],Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.23,698.76,No
4288-['M' 'O' 'Z' 'Z' 'B'],Male,0,Yes,No,17,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,111.0,1887.0,No
4289-['J' 'M' 'R' 'W' 'K'],Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,113.93,797.51,No
4290-['M' 'S' 'X' 'Y' 'X'],Female,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.68,1278.72,No
4291-['V' 'E' 'C' 'S' 'W'],Female,1,Yes,Yes,4,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),77.2,308.8,No
4292-['M' 'E' 'L' 'N' 'F'],Male,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),57.14,1257.08,No
4293-['V' 'I' 'Q' 'H' 'Z'],Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,59.66,2267.08,No
4294-['M' 'E' 'V' 'V' 'Q'],Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,80.85,1697.85,No
4295-['C' 'F' 'N' 'O' 'N'],Female,1,No,Yes,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,97.29,97.29,Yes
4296-['K' 'K' 'I' 'F' 'O'],Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.07,1629.54,No
4297-['L' 'F' 'A' 'Y' 'P'],Female,0,Yes,No,34,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,95.19,3236.46,No
4298-['T' 'O' 'B' 'Q' 'C'],Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,116.45,465.8,Yes
4299-['C' 'E' 'Q' 'W' 'Q'],Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.93,1917.76,Yes
4300-['T' 'F' 'A' 'G' 'Z'],Female,0,No,No,50,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,63.34,3167.0,No
4301-['O' 'G' 'S' 'T' 'V'],Female,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,86.68,6240.96,No
4302-['K' 'W' 'N' 'M' 'T'],Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,22.03,264.36,No
4303-['Z' 'Y' 'I' 'I' 'P'],Male,1,Yes,No,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),29.97,0.0,No
4304-['L' 'J' 'F' 'R' 'B'],Female,0,No,Yes,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),33.36,433.68,No
4305-['T' 'I' 'S' 'F' 'B'],Male,1,No,No,25,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,76.97,1924.25,Yes
4306-['O' 'Q' 'P' 'U' 'H'],Female,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.5,3895.5,No
4307-['J' 'J' 'R' 'J' 'I'],Female,0,No,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),49.21,3247.86,No
4308-['X' 'S' 'A' 'D' 'X'],Female,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,76.64,4368.48,No
4309-['C' 'J' 'L' 'R' 'W'],Male,0,No,No,25,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,116.36,2909.0,No
4310-['T' 'F' 'U' 'B' 'J'],Female,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.92,2859.84,No
4311-['B' 'I' 'J' 'B' 'H'],Female,0,No,No,0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.67,0.0,No
4312-['X' 'Q' 'Q' 'D' 'R'],Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,115.03,1150.3,No
4313-['L' 'Q' 'I' 'S' 'N'],Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,54.19,3034.64,No
4314-['N' 'Q' 'B' 'H' 'E'],Female,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,76.5,2142.0,No
4315-['G' 'V' 'P' 'P' 'Q'],Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),87.99,1319.85,No
4316-['V' 'G' 'T' 'H' 'H'],Female,1,Yes,Yes,2,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.11,160.22,Yes
4317-['W' 'K' 'O' 'R' 'F'],Female,1,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),104.2,625.2,No
4318-['V' 'L' 'O' 'W' 'F'],Male,0,No,No,19,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75.66,1437.54,No
4319-['R' 'X' 'T' 'I' 'H'],Female,0,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),56.21,3035.34,No
4320-['N' 'S' 'S' 'H' 'B'],Female,0,Yes,No,2,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.64,147.28,No
4321-['Y' 'D' 'F' 'C' 'C'],Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),113.33,453.32,Yes
4322-['S' 'K' 'J' 'L' 'N'],Male,0,Yes,Yes,25,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),90.44,2261.0,No
4323-['R' 'X' 'I' 'O' 'X'],Female,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),46.59,372.72,No
4324-['Z' 'C' 'W' 'K' 'J'],Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.01,80.04,No
4325-['R' 'D' 'M' 'F' 'U'],Female,0,No,No,4,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,79.65,318.6,No
4326-['M' 'Y' 'Z' 'T' 'E'],Male,0,No,No,16,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),33.04,528.64,No
4327-['T' 'N' 'M' 'N' 'H'],Female,1,No,Yes,21,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,69.37,1456.77,No
4328-['P' 'M' 'X' 'O' 'S'],Male,0,Yes,No,56,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),43.07,2411.92,No
4329-['A' 'V' 'B' 'R' 'S'],Male,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),109.54,1971.72,Yes
4330-['H' 'C' 'W' 'Z' 'N'],Male,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.25,875.0,No
4331-['Z' 'I' 'H' 'Q' 'W'],Female,0,Yes,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,118.39,473.56,No
4332-['W' 'X' 'P' 'J' 'U'],Female,0,Yes,Yes,29,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),29.29,849.41,No
4333-['J' 'Y' 'Y' 'X' 'F'],Female,0,Yes,No,25,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,79.74,1993.5,No
4334-['V' 'Q' 'P' 'O' 'V'],Male,0,No,Yes,5,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,70.96,354.8,No
4335-['N' 'D' 'D' 'B' 'K'],Female,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,91.97,2391.22,No
4336-['D' 'U' 'U' 'P' 'U'],Female,0,No,Yes,5,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),40.94,204.7,No
4337-['D' 'A' 'Z' 'X' 'S'],Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,61.71,1295.91,No
4338-['B' 'I' 'W' 'Y' 'M'],Male,0,Yes,Yes,26,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),18.45,479.7,No
4339-['R' 'P' 'P' 'Y' 'J'],Male,0,Yes,No,28,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.37,2418.36,No
4340-['I' 'K' 'Y' 'Z' 'Z'],Male,0,Yes,No,57,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,50.59,2883.63,No
4341-['D' 'J' 'C' 'F' 'C'],Male,0,No,No,70,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),115.77,8103.9,No
4342-['I' 'C' 'R' 'H' 'V'],Female,0,Yes,No,39,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.8,2527.2,Yes
4343-['H' 'O' 'M' 'G' 'S'],Male,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,88.75,4437.5,No
4344-['H' 'J' 'Q' 'A' 'M'],Female,0,Yes,Yes,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,35.78,0.0,No
4345-['Z' 'M' 'X' 'P' 'I'],Male,0,Yes,Yes,10,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.22,1002.2,No
4346-['J' 'F' 'E' 'B' 'K'],Female,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,19.53,0.0,No
4347-['I' 'F' 'H' 'I' 'I'],Female,0,No,No,6,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,23.48,140.88,No
4348-['H' 'L' 'Z' 'H' 'C'],Male,0,Yes,Yes,11,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,97.27,1069.97,No
4349-['M' 'S' 'B' 'Q' 'P'],Male,0,No,No,48,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,59.26,2844.48,No
4350-['D' 'R' 'N' 'B' 'M'],Female,0,Yes,No,17,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,23.48,399.16,No
4351-['U' 'T' 'Q' 'O' 'Y'],Male,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,57.95,1448.75,Yes
4352-['T' 'E' 'G' 'R' 'X'],Male,0,No,No,10,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),34.41,344.1,No
4353-['K' 'R' 'Z' 'E' 'M'],Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,65.71,1445.62,No
4354-['R' 'B' 'T' 'D' 'M'],Male,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),118.93,4757.2,No
4355-['X' 'P' 'F' 'Z' 'H'],Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,19.28,154.24,No
4356-['P' 'M' 'W' 'Z' 'D'],Male,0,Yes,Yes,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),97.45,6236.8,No
4357-['B' 'I' 'R' 'Q' 'H'],Male,1,No,No,5,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,55.47,277.35,No
4358-['Z' 'O' 'I' 'Q' 'W'],Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,98.01,5880.6,No
4359-['B' 'F' 'E' 'Q' 'B'],Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,63.53,0.0,No
4360-['R' 'J' 'J' 'F' 'L'],Female,1,Yes,No,18,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,94.61,1702.98,No
4361-['Q' 'M' 'T' 'P' 'J'],Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,74.09,5334.48,No
4362-['U' 'B' 'B' 'W' 'G'],Male,0,No,Yes,22,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),93.99,2067.78,No
4363-['F' 'A' 'L' 'M' 'L'],Female,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),70.34,1336.46,No
4364-['S' 'I' 'J' 'Q' 'R'],Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,86.41,2333.07,No
4365-['H' 'G' 'I' 'J' 'L'],Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,64.9,519.2,Yes
4366-['O' 'O' 'D' 'D' 'W'],Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.02,42.02,No
4367-['A' 'Z' 'L' 'Y' 'B'],Male,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,95.24,571.44,No
4368-['O' 'Q' 'G' 'F' 'L'],Female,0,No,No,4,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,68.89,275.56,No
4369-['S' 'A' 'U' 'Z' 'N'],Male,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,57.94,3534.34,No
4370-['D' 'E' 'A' 'A' 'U'],Female,0,Yes,Yes,45,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),119.11,5359.95,No
4371-['F' 'E' 'B' 'Y' 'U'],Male,0,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.44,210.96,No
4372-['E' 'Z' 'I' 'S' 'U'],Female,0,No,No,43,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,91.97,3954.71,Yes
